"Severity","Issue","File","Line","Text"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","529","routing: AzureRoutingConfig,"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","536","This writes to insytprodstorage under processing_center/jobs/{job_id}/status.json,"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","559","def _processed_hash_index_blob_path(routing: AzureRoutingConfig) -> str:"
"FAIL","routing.workspace/routing.client/routing.project direct path construction","backend\apc\azure_blob_adapter.py","561","f""{routing.workspace}/{routing.client}/{routing.project}/"""
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","566","def azure_read_processed_hash_index(routing: AzureRoutingConfig) -> dict[str, object]:"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","605","routing: AzureRoutingConfig,"
"INFO","Project base path helper usage","backend\apc\azure_blob_adapter.py","734","def read_processing_job_status(routing: AzureRoutingConfig, job_id: str) -> dict[str, object]:"
"INFO","Project base path helper usage","backend\apc\azure_job_runner.py","16","from .azure_layout import AzureRoutingConfig, build_azure_routing_summary"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_job_runner.py","45","return str(value or ""job"").replace(""/"", ""_"").replace(""\\"", ""_"").replace("" "", ""_"")"
"INFO","Project base path helper usage","backend\apc\azure_job_runner.py","50","routing: AzureRoutingConfig,"
"INFO","Project base path helper usage","backend\apc\azure_job_runner.py","78","routing: AzureRoutingConfig,"
"REVIEW","Direct APC upload path literal","backend\apc\azure_job_runner.py","106","# pending in source/processing_center/uploads. Without clearing this"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","25","def clean_segment(value: str | None) -> str:"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","29","def storage_segment(value: str | None) -> str:"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","30","return clean_segment(value).replace("" "", ""_"")"
"INFO","Project base path helper usage","backend\apc\azure_layout.py","34","class AzureRoutingConfig:"
"INFO","Project base path helper usage","backend\apc\azure_layout.py","57",") -> ""AzureRoutingConfig"":"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","58","workspace_clean = clean_segment(workspace).lower() or ""capture"""
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","63","client=clean_segment(client),"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","64","project=storage_segment(project),"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","100","client = clean_segment(self.client)"
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","101","workspace = clean_segment(self.workspace).lower() or ""capture"""
"REVIEW","Project display/storage conversion logic","backend\apc\azure_layout.py","102","project = storage_segment(self.project)"
"REVIEW","Direct APC upload path literal","backend\apc\azure_layout.py","122","""uploads"": f""{p}/source/processing_center/uploads"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","123","""work"": f""{p}/processing_center/work"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","124","""temp"": f""{p}/processing_center/temp"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","125","""jobs"": f""{p}/processing_center/jobs"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","126","""telemetry"": f""{p}/processing_center/telemetry"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","127","""internal_reports"": f""{p}/processing_center/reports/internal"","
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_layout.py","134","""native"": f""{p}/source/native"","
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_layout.py","135","""text"": f""{p}/source/text"","
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_layout.py","136","""preview"": f""{p}/source/preview"","
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\azure_layout.py","137","""metadata"": f""{p}/source/metadata"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","138","""reports"": f""{p}/processing_center/reports"","
"INFO","Project base path helper usage","backend\apc\azure_layout.py","186","routing: AzureRoutingConfig,"
"INFO","Project base path helper usage","backend\apc\azure_layout.py","242","routing: AzureRoutingConfig,"
"INFO","Project base path helper usage","backend\apc\azure_layout.py","256","""project_prefix"": routing.prefix,"
"INFO","Project base path helper usage","backend\apc\__main__.py","13","from .azure_layout import AzureRoutingConfig, build_azure_routing_summary, build_review_promotion_blob_plan, export_azure_plan"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\__main__.py","38","run.add_argument(""--promote-review-ready"", action=""store_true"", help=""Create review-ready source/native and source/text output using assigned Doc IDs"")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\__main__.py","96","azure_upload = sub.add_parser(""azure-upload-review"", help=""Upload local review-ready source/native and source/text outputs to insytreviewstorage. Requires --azure-write."")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\__main__.py","100","azure_upload.add_argument(""--local-review-root"", required=True, help=""Folder containing source/native and source/text created by --promote-review-ready"")"
"INFO","Project base path helper usage","backend\apc\__main__.py","214","routing = AzureRoutingConfig.from_args("
"INFO","Project base path helper usage","backend\apc\__main__.py","273","routing = AzureRoutingConfig.from_args("
"INFO","Project base path helper usage","backend\apc\__main__.py","308","routing = AzureRoutingConfig.from_args("
"INFO","Project base path helper usage","backend\apc\__main__.py","340","routing = AzureRoutingConfig.from_args("
"INFO","Project base path helper usage","backend\apc\__main__.py","383","routing = AzureRoutingConfig.from_args("
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\stages\review_promotion.py","65","""""""Promote final reviewable set into source/native and source/text style folders."
"FAIL","Workspace-first literal/order: workspace/client/project","backend\apc\stages\review_promotion.py","68","operations with Azure Blob writes to {workspace}/{client}/{project}/source/native"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\stages\review_promotion.py","68","operations with Azure Blob writes to {workspace}/{client}/{project}/source/native"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\apc\stages\review_promotion.py","69","and /source/text."
"INFO","Processing Center route decorator","backend\app\api\admin_clients.py","31","@router.get(""/clients-overview"")"
"INFO","Processing Center route decorator","backend\app\api\admin_clients.py","125","@router.get(""/project-users"")"
"INFO","Processing Center route decorator","backend\app\api\admin_clients.py","181","@router.get(""/project-hours-overview"")"
"INFO","Processing Center route decorator","backend\app\api\admin_clients.py","230","@router.get(""/review-hours"")"
"INFO","Processing Center route decorator","backend\app\api\admin_clients.py","290","@router.post(""/users/status"")"
"INFO","Processing Center route decorator","backend\app\api\audit_logs.py","45","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","96","@router.post(""/bootstrap-admin"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","156","@router.post(""/login"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","260","@router.post(""/mfa/setup"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","310","@router.post(""/mfa/confirm"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","354","@router.post(""/mfa/disable"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","384","@router.post(""/entra-login"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","572","@router.get(""/entra/start"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","597","@router.post(""/entra/callback"")"
"INFO","Processing Center route decorator","backend\app\api\auth.py","729","@router.get(""/me"")"
"INFO","Processing Center route decorator","backend\app\api\azure_projects.py","43","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\azure_projects.py","63","@router.get(""/debug"")"
"INFO","Processing Center route decorator","backend\app\api\azure_projects.py","93","@router.get(""/{project_id}/files"")"
"INFO","Processing Center route decorator","backend\app\api\azure_projects.py","125","@router.get(""/{project_id}/sample-text"")"
"INFO","Processing Center route decorator","backend\app\api\azure_projects.py","171","@router.get(""/clients"")"
"INFO","Processing Center route decorator","backend\app\api\batches.py","27","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\batches.py","32","@router.post(""/checkout"")"
"INFO","Processing Center route decorator","backend\app\api\batches.py","69","@router.get(""/files"")"
"INFO","Processing Center route decorator","backend\app\api\batches.py","96","@router.post(""/create-review"")"
"INFO","Processing Center route decorator","backend\app\api\batches.py","157","@router.post(""/create-qc"")"
"INFO","Processing Center route decorator","backend\app\api\batches.py","205","@router.post(""/create-alt"")"
"INFO","Processing Center route decorator","backend\app\api\capture_batches.py","32","@router.get(""/projects/{project_id}/batches"")"
"INFO","Processing Center route decorator","backend\app\api\capture_batches.py","51","@router.post(""/projects/{project_id}/batches/create"")"
"INFO","Processing Center route decorator","backend\app\api\capture_batches.py","80","@router.post(""/projects/{project_id}/batches/remove-docs"")"
"INFO","Processing Center route decorator","backend\app\api\capture_clients.py","60","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\capture_clients.py","131","@router.post(""/remove-user"")"
"INFO","Processing Center route decorator","backend\app\api\capture_projects.py","36","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\capture_projects.py","68","@router.get(""/clients"")"
"INFO","Processing Center route decorator","backend\app\api\capture_projects.py","91","@router.get(""/clients/{client_name}/projects"")"
"INFO","Processing Center route decorator","backend\app\api\capture_projects.py","118","@router.get(""/{project_id}/files"")"
"INFO","Processing Center route decorator","backend\app\api\capture_projects.py","143","@router.get(""/{project_id}/text"")"
"INFO","Processing Center route decorator","backend\app\api\capture_review_batches.py","22","@router.post(""/projects/{project_id}/batches/checkout"")"
"INFO","Processing Center route decorator","backend\app\api\capture_review_batches.py","40","@router.post(""/projects/{project_id}/batches/release"")"
"INFO","Processing Center route decorator","backend\app\api\capture_review_batches.py","60","@router.post(""/projects/{project_id}/batches/complete"")"
"REVIEW","Project display/storage conversion logic","backend\app\api\cyber_utility.py","62","value = sheet_name.strip().replace("" "", ""_"").replace(""/"", ""_"").replace(""\\"", ""_"")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\cyber_utility.py","118","folder: str = ""source/native"","
"INFO","Processing Center route decorator","backend\app\api\cyber_utility.py","423","@router.get(""/xl-processing/files"")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\cyber_utility.py","428","folder: str = Query(default=""source/native""),"
"INFO","Processing Center route decorator","backend\app\api\cyber_utility.py","438","@router.post(""/jobs"")"
"INFO","Processing Center route decorator","backend\app\api\cyber_utility.py","480","@router.get(""/jobs/{job_id}"")"
"INFO","Processing Center route decorator","backend\app\api\discovery.py","29","@router.get(""/projects"")"
"INFO","Processing Center route decorator","backend\app\api\discovery_batches.py","30","@router.get(""/projects/{project_id}/batches"")"
"INFO","Processing Center route decorator","backend\app\api\discovery_batches.py","49","@router.post(""/projects/{project_id}/batches/create"")"
"INFO","Processing Center route decorator","backend\app\api\discovery_batches.py","78","@router.post(""/projects/{project_id}/batches/checkout"")"
"INFO","Processing Center route decorator","backend\app\api\discovery_review_batches.py","22","@router.post(""/projects/{project_id}/batches/checkout"")"
"INFO","Processing Center route decorator","backend\app\api\discovery_review_batches.py","41","@router.post(""/projects/{project_id}/batches/release"")"
"INFO","Processing Center route decorator","backend\app\api\discovery_review_batches.py","61","@router.post(""/projects/{project_id}/batches/complete"")"
"INFO","Project base path helper usage","backend\app\api\document_overlays.py","12","from app.services.storage_paths import build_project_base_path, build_project_path"
"INFO","Project base path helper usage","backend\app\api\document_overlays.py","84","return build_project_base_path("
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\document_overlays.py","421","prefix = f""{base_path}/source/native/"""
"INFO","Processing Center route decorator","backend\app\api\document_overlays.py","602","@router.post(""/preview"")"
"INFO","Processing Center route decorator","backend\app\api\document_overlays.py","753","@router.post(""/commit"")"
"INFO","Processing Center route decorator","backend\app\api\document_overlays.py","990","@router.get(""/{project_id}/list"")"
"INFO","Processing Center route decorator","backend\app\api\document_overlays.py","1052","@router.get(""/{project_id}/latest"")"
"INFO","Project base path helper usage","backend\app\api\entities.py","19","from app.services.storage_paths import build_project_base_path"
"INFO","Project base path helper usage","backend\app\api\entities.py","41","return build_project_base_path("
"INFO","Processing Center route decorator","backend\app\api\entities.py","402","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\entities.py","539","@router.get(""/document"")"
"INFO","Processing Center route decorator","backend\app\api\entities.py","613","@router.post(""/export-source-docs"")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\entities.py","656","folder=""source/native"","
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\entities.py","683","folder=""source/text"","
"INFO","Processing Center route decorator","backend\app\api\entities.py","742","@router.post(""/export-source-docs-zip"")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\entities.py","813","folder=""source/native"","
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\entities.py","834","folder=""source/text"","
"INFO","Processing Center route decorator","backend\app\api\entities.py","955","@router.post(""/update"")"
"INFO","Processing Center route decorator","backend\app\api\entities.py","1004","@router.post(""/unlink"")"
"INFO","Processing Center route decorator","backend\app\api\entities.py","1052","@router.post(""/delete"")"
"INFO","Processing Center route decorator","backend\app\api\files.py","8","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\jobs.py","23","@router.post(""/"")"
"INFO","Processing Center route decorator","backend\app\api\jobs.py","50","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\jobs.py","59","@router.get(""/{job_id}"")"
"INFO","Processing Center route decorator","backend\app\api\messages.py","273","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\messages.py","307","@router.get(""/new-status"")"
"INFO","Processing Center route decorator","backend\app\api\messages.py","357","@router.post(""/mark-seen"")"
"INFO","Processing Center route decorator","backend\app\api\messages.py","406","@router.post(""/send"")"
"INFO","Processing Center route decorator","backend\app\api\messages.py","478","@router.get(""/urgent"")"
"INFO","Processing Center route decorator","backend\app\api\messages.py","525","@router.post(""/urgent/acknowledge"")"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\processing_center.py","163","return f""{workspace}/{client}/{project_id}/source/native/{file_name}"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\processing_center.py","177","return f""{workspace}/{client}/{project_id}/source/text/{doc_id}.txt"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\processing_center.py","235","return f""{client}/{project_id}/source/preview/{doc_id}.pdf"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\processing_center.py","241","return f""{client}/{project_id}/source/preview/{doc_id}.html"""
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","536","@router.get(""/manifest"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","560","@router.post(""/upload"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","615","@router.post(""/start"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","839","@router.post(""/jobs/start"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","945","@router.get(""/jobs"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","1042","@router.post(""/jobs/{job_id}/promote"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center.py","1368","@router.get(""/jobs/{job_id}"")"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","46","from apc.azure_layout import AzureRoutingConfig"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","50","build_project_base_path,"
"REVIEW","Project display/storage conversion logic","backend\app\api\processing_center_azure.py","142","def _storage_project_key(value: str | None) -> str:"
"REVIEW","Project display/storage conversion logic","backend\app\api\processing_center_azure.py","143","return _clean_path_segment(value).replace("" "", ""_"")"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","146","def _project_base_path("
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","151","return build_project_base_path("
"REVIEW","Project display/storage conversion logic","backend\app\api\processing_center_azure.py","154","project=_storage_project_key(project),"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","165","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","166","f""processing_center/jobs/{job_id}"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","298",") -> AzureRoutingConfig:"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","299","return AzureRoutingConfig.from_args("
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","350","base_path = _project_base_path("
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","356","base_path = _project_base_path("
"REVIEW","Direct APC upload path literal","backend\app\api\processing_center_azure.py","362","uploads_prefix = f""{base_path}/source/processing_center/uploads/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","363","archive_prefix = f""{base_path}/processing_center/archive/{job_id}/uploads/"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","444","base_path = _project_base_path("
"REVIEW","Direct APC upload path literal","backend\app\api\processing_center_azure.py","450","uploads_prefix = f""{base_path}/source/processing_center/uploads/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","455","f""{base_path}/processing_center/removed/{removed_at}/uploads/"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","582","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","583","f""processing_center/jobs/"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","631","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","632","f""processing_center/reports/{apc_job_id}/{apc_job_id}.summary.json"""
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","813","@router.get(""/{workspace}/processing-center/settings"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","830","@router.get(""/{workspace}/processing-center/pricing/ocr-read"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","863","@router.get(""/{workspace}/processing-center/uploads"")"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","877","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC upload path literal","backend\app\api\processing_center_azure.py","878","f""source/processing_center/uploads/"""
"REVIEW","Project display/storage conversion logic","backend\app\api\processing_center_azure.py","916","""project_storage_key"": _storage_project_key(project),"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","917","""project_base_path"": _project_base_path("
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","934","@router.post(""/{workspace}/processing-center/uploads/upload"")"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","956","f""{_project_base_path(workspace=workspace, client=client, project=project_id)}/"""
"REVIEW","Direct APC upload path literal","backend\app\api\processing_center_azure.py","957","f""source/processing_center/uploads/{safe_filename}"""
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","997","@router.post(""/{workspace}/processing-center/uploads/remove"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1024","@router.post(""/{workspace}/processing-center/uploads/archive"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1045","@router.post(""/{workspace}/processing-center/tracked-jobs/start"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1153","@router.get(""/{workspace}/processing-center/tracked-jobs/{job_id}/status"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1172","@router.post(""/{workspace}/processing-center/tracked-jobs/{job_id}/cancel"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1235","@router.post("
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","1393","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","1394","f""processing_center/reports/{apc_job_id}/{apc_job_id}.summary.json"""
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1578","@router.get(""/{workspace}/processing-center/job-history"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","1617","@router.get(""/{workspace}/processing-center/jobs/{job_id}"")"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","1897","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","1898","f""processing_center/reports/{job_id}/{job_id}.summary.json"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","1918","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","1919","f""processing_center/staged/{job_id}"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","1974","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\processing_center_azure.py","1975","f""source/native/{native_filename}"""
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","1979","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\processing_center_azure.py","1980","f""source/text/{doc_id}.txt"""
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","2082","@router.get(""/{workspace}/processing-center/staged-results"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","2139","@router.get(""/{workspace}/processing-center/staged-results/{job_id}"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","2158","@router.post(""/{workspace}/processing-center/promote"")"
"INFO","Processing Center route decorator","backend\app\api\processing_center_azure.py","2338","@router.get(""/{workspace}/processing-center/jobs/{job_id}/report"")"
"FAIL","Workspace-first literal/order: workspace/client/project","backend\app\api\processing_center_azure.py","2348","# {workspace}/{client}/{project}/processing_center/reports/{job_id}/{job_id}.summary.json"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","2348","# {workspace}/{client}/{project}/processing_center/reports/{job_id}/{job_id}.summary.json"
"INFO","Project base path helper usage","backend\app\api\processing_center_azure.py","2351","f""{_project_base_path(workspace=workspace, client=client, project=project)}/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","2352","f""processing_center/reports/{job_id}"""
"INFO","Processing Center route decorator","backend\app\api\projects.py","6","@router.get(""/"")"
"INFO","Processing Center route decorator","backend\app\api\protocol_templates.py","185","@router.get(""/{workspace}/protocol-templates"")"
"INFO","Processing Center route decorator","backend\app\api\protocol_templates.py","200","@router.get(""/{workspace}/protocol-templates/{protocol_name}"")"
"INFO","Processing Center route decorator","backend\app\api\protocol_templates.py","249","@router.get(""/{workspace}/protocol-templates/{protocol_name}/fields"")"
"INFO","Project base path helper usage","backend\app\api\review.py","11","from app.services.storage_paths import build_project_base_path, build_project_path"
"INFO","Project base path helper usage","backend\app\api\review.py","40","prefix = f""{build_project_base_path(workspace, clean_client_id, clean_project_id)}/"""
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\review.py","203","if ""/source/native/"" in native_blob:"
"REVIEW","Direct source native/text/preview/metadata path literal","backend\app\api\review.py","204","base = native_blob.split(""/source/native/"")[0]"
