"Severity","Issue","File","Line","Text"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","125","""jobs"": f""{p}/processing_center/jobs"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","126","""telemetry"": f""{p}/processing_center/telemetry"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","127","""internal_reports"": f""{p}/processing_center/reports/internal"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","138","""reports"": f""{p}/processing_center/reports"","
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","118","def clean_path_part(value: str) -> str:"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","127","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","128","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","158","workspace = clean_path_part(workspace).lower()"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","159","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","160","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","161","file_name = clean_path_part(file_name)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","172","workspace = clean_path_part(workspace).lower()"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","173","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","174","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","175","doc_id = clean_path_part(doc_id)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","233","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","234","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","239","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center.py","240","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","backend\app\api\processing_center_azure.py","142","def _storage_project_key(value: str | None) -> str:"
"REVIEW","Storage normalization helper","backend\app\api\processing_center_azure.py","154","project=_storage_project_key(project),"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","166","f""processing_center/jobs/{job_id}"""
"REVIEW","Direct APC uploads path literal","backend\app\api\processing_center_azure.py","356","uploads_prefix = f""{base_path}/source/processing_center/uploads/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","357","archive_prefix = f""{base_path}/processing_center/archive/{job_id}/uploads/"""
"REVIEW","Direct APC uploads path literal","backend\app\api\processing_center_azure.py","444","uploads_prefix = f""{base_path}/source/processing_center/uploads/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","449","f""{base_path}/processing_center/removed/{removed_at}/uploads/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","577","f""processing_center/jobs/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","626","f""processing_center/reports/{apc_job_id}/{apc_job_id}.summary.json"""
"REVIEW","Direct APC uploads path literal","backend\app\api\processing_center_azure.py","872","f""source/processing_center/uploads/"""
"REVIEW","Storage normalization helper","backend\app\api\processing_center_azure.py","910","""project_storage_key"": _storage_project_key(project),"
"REVIEW","Direct APC uploads path literal","backend\app\api\processing_center_azure.py","951","f""source/processing_center/uploads/{safe_filename}"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","1388","f""processing_center/reports/{apc_job_id}/{apc_job_id}.summary.json"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","1892","f""processing_center/reports/{job_id}/{job_id}.summary.json"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","1913","f""processing_center/staged/{job_id}"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","2342","# {client}/{workspace}/{project_storage_key}/processing_center/reports/{job_id}/{job_id}.summary.json"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\processing_center_azure.py","2346","f""processing_center/reports/{job_id}"""
"REVIEW","Direct APC uploads path literal","backend\app\api\workspace_projects.py","480","f""{project_root}/source/processing_center/uploads/.keep"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\workspace_projects.py","482","f""{project_root}/processing_center/jobs/.keep"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\workspace_projects.py","483","f""{project_root}/processing_center/staged/.keep"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\workspace_projects.py","484","f""{project_root}/processing_center/reports/.keep"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\workspace_projects.py","485","f""{project_root}/processing_center/archive/.keep"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\app\api\workspace_projects.py","486","f""{project_root}/processing_center/removed/.keep"","
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","1","def clean_path_part(value: str | None) -> str:"
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","5","def build_project_storage_key(value: str | None) -> str:"
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","6","return clean_path_part(value).replace("" "", ""_"")"
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","14","workspace_name = clean_path_part(workspace).lower() or ""capture"""
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","15","client_name = clean_path_part(client)"
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","16","project_name = build_project_storage_key(project)"
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","34","clean_path_part(part)"
"REVIEW","Storage normalization helper","backend\app\services\storage_paths.py","36","if clean_path_part(part)"
"REVIEW","Direct APC uploads path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","127","{client}/{workspace}/{project}/source/processing_center/uploads/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","130","{client}/{workspace}/{project}/processing_center/archive/{job_id}/uploads/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","137","f""{self.routing.prefix}/processing_center/archive/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","242","{client}/{workspace}/{project}/processing_center/staged/{job_id}/native/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","243","{client}/{workspace}/{project}/processing_center/staged/{job_id}/text/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","256","f""{self.routing.prefix}/processing_center/staged/{job_id}"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","424","staged_prefix = f""{routing.prefix}/processing_center/staged/{job_id}"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_blob_adapter.py","533","This writes to insytprodstorage under processing_center/jobs/{job_id}/status.json,"
"REVIEW","Direct APC uploads path literal","workers\insyt_processing_worker\apc\azure_job_runner.py","106","# pending in source/processing_center/uploads. Without clearing this"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","25","def clean_segment(value: str | None) -> str:"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","28","def storage_segment(value: str | None) -> str:"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","29","return clean_segment(value).replace("" "", ""_"")"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","56","workspace_clean = clean_segment(workspace).lower() or ""capture"""
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","61","client=clean_segment(client),"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","62","project=clean_segment(project),"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","98","client = clean_segment(self.client)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","99","workspace = clean_segment(self.workspace).lower() or ""capture"""
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\apc\azure_layout.py","100","project = storage_segment(self.project)"
"REVIEW","Direct APC uploads path literal","workers\insyt_processing_worker\apc\azure_layout.py","120","""uploads"": f""{p}/source/processing_center/uploads"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_layout.py","121","""work"": f""{p}/processing_center/work"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_layout.py","122","""temp"": f""{p}/processing_center/temp"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_layout.py","123","""jobs"": f""{p}/processing_center/jobs"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_layout.py","124","""telemetry"": f""{p}/processing_center/telemetry"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_layout.py","125","""internal_reports"": f""{p}/processing_center/reports/internal"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\apc\azure_layout.py","136","""reports"": f""{p}/processing_center/reports"","
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","72","def clean_path_part(value: str) -> str:"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","81","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","82","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","107","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","108","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","113","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","114","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","171","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","172","project_id = clean_path_part(project_id)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","177","client = clean_path_part(client)"
"REVIEW","Storage normalization helper","workers\insyt_processing_worker\app\api\processing_center.py","178","project_id = clean_path_part(project_id)"
"REVIEW","Direct APC uploads path literal","workers\insyt_processing_worker\app\api\workspace_project_create.py","29","""source/processing_center/uploads"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\app\api\workspace_project_create.py","31","""processing_center/jobs"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\app\api\workspace_project_create.py","32","""processing_center/staged"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\app\api\workspace_project_create.py","33","""processing_center/reports"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\app\api\workspace_project_create.py","34","""processing_center/archive"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","workers\insyt_processing_worker\app\api\workspace_project_create.py","35","""processing_center/removed"","
